Ingredients,Nameofproduct,protein,sodium,fiber,sugars,Servingsize,calories,Saturatedfat,category
Organic Almonds Organic Cacao Organic Jerusalem Artichoke Fiber Organic Cacao Butter Organic Monk Fruit Extract Organic MCT Oil,"Organic Almond Butter Keto Cups 7 Count, 4.93 oz",3,0,5,1,20,130,3,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Expeller Pressed Palm Oil, Organic Cane Sugar, Organic Brown Cane Sugar, Organic Invert Cane Sugar Syrup, Sea Salt, Leavening (Sodium Bicarbonate, Ammonium Bicarbonate), Organic Natural Flavors, Organic Vanilla Extract","Ogranic Cookies, Chocolate Chip, 12 oz",2,105,1,10,30,150,3.5,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Sea Salt, Organic Natural Flavors, Leavening (Sodium Bicarbonate), Organic Soy Lecithin (Emulsifier)","Ogranic Cookies, Vanilla Wafers, 9 oz",1,140,0,11,30,140,2,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Expeller Pressed Palm Oil, Organic Cane Sugar, Organic Rolled Oats, Organic Raisins, Organic Invert Cane Sugar Syrup, Organic Cinnamon, Baking Soda (Sodium Bicarbonate), Sea Salt, Organic Soy Lecithin (Emulsifier)","Ogranic Cookies, Oatmeal Raisin, 12 oz",2,105,1,9,30,140,2.5,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Invert Cane Sugar Syrup, Organic Cocoa Powder (Processed With Alkali), Sea Salt, Leavening (Sodium Bicarbonate), Organic Vanilla Extract, Organic Natural Flavor, Leavening (Ammonium Bicarbonate)","Ogranic Cookies, Double Chocolate Chip, 12 oz",2,100,1,9,30,150,3.5,organic
"Ingredients: Organic Wheat Flour, Organic Sugar, Organic Eggs, Leavening (Ammonium Bicarbonate, Sodium Bicarbonate), Natural Flavors, Salt","Organic Ladyfingers, 7 oz",3,35,1,14,33,120,0,organic
"Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Expeller Pressed Palm Oil, Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Cane Sugar, Organic Brown Sugar, Organic Invert Cane Sugar Syrup, Sea Salt, Leavening (Sodium Bicarbonate), Natural Flavors, Organic Vanilla Extract.","Organic Chocolate Chip Cookie Bites, 6 EACH",2,115,1,9,30,150,4,organic
"Best Ingredients: Organic Wheat Flour, Organic Semi-sweet Chocolate Chips (Organic Cane Sugar, Organic Chocolate, Organic Cocoa Butter, Organic Vanilla Extract), Organic Cane Sugar, Organic Whole Grain Oat Flour, Organic Palm Oil, Organic Expeller-pressed Sunflower Oil, Organic Invert Cane Syrup, Sea Salt, Organic Molasses, Leavening (Baking Soda, Ammonium Bicarbonate), Mixed Tocopherols (Vitamin E) To Protect Flavor, Natural Flavor","Organic Choc Chip Cookie Bites 10pk, 10.5 oz",2,100,1,9,30,150,3,organic
"Ingredients: Gluten Free Flour Blend* (Oat Flour*, Tapioca Flour*, Potato Starch*), Cane Sugar Syrup*, Vegetable Oils* (Sustainable Palm Fruit Oil*, Sunflower Oil*), Chocolate Chips* (Cane Sugar*, Cocoa Mass*, Cocoa Butter*, Vanilla*), Vegetable Glycerin*, Chia*, Brown Sugar*, Baking Powder, Vanilla Flavor*, Vegetable Extracts (Spinach, Broccoli, Carrots, Tomatoes, Beets, Shiitake Mushrooms), Sea Salt., *Organic","Soft Baked Mini Chocolate Chip Cookies 5pk, 4.23 oz",1,65,1,6,24,120,3,organic
"Best Ingredients: Organic Wheat Flour, Organic Cane Sugar, Organic Expeller-pressed Sunflower Oil, Organic Whole Wheat Flour (Graham Flour), Organic Invert Cane Syrup, Organic Corn Flour, Organic Chocolate Cookie Bits (Organic Wheat Flour, Organic Sugar, Organic Expeller-pressed Sunflower Oil, Organic Malted Black Barley Flour, Organic Cocoa, Baking Soda), Calcium Carbonate, Organic Honey, Organic Cocoa Powder, Organic Semi-sweet Chocolate Chips (Organic Can Sugar, Organic Cocoa Butter, Organic Vanilla Extract), Baking Soda, Sea Salt, Natural Flavor, Mixed Tocopherols (Vitamin E) To Protect Flavor","Organic Grahams Friends Bunny Snacks, 11.25 oz",2,90,1,7,30,130,0.5,organic
"Best Ingredients: Organic Wheat Flour, Organic Cane Sugar, Organic Expeller-pressed Sunflower Oil, Organic Corn Flour, Organic Whole Wheat Flour (Graham Flour), Organic Honey, Calcium Carbonate, Baking Soda, Sea Salt, Mixed Tocopherols (Vitamin E) To Protect Flavor, Natural Flavor","Organic Honey Bunny Grahams, 7.5 oz",2,120,1,6,30,130,0,organic
"Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Iron, Organic Wheat Starch, Thiamine Mononitrate, Tricalcium Phosphate, Riboflavin, Folic Acid), Organic Strawberry Filling (Organic Cane Sugar, Organic Brown Rice Syrup, Organic Apple Powder, Organic Rice Starch, Organic Strawberries, Organic Dried Cane Sugar, Organic Strawberry Type Flavor, Glycerin, Pectin, Water, Citric Acid, Red Cabbage Extract [Color]), Organic Invert Cane Sugar, Organic Evaporated Cane Sugar, Water, Organic Sunflower Oil and/or Organic Canola Oil, Calcium Carbonate, Natural Flavors, Organic Honey, Organic Oat Flour, Organic Corn Flour, Baking Soda, Organic Butter Flavor (Milk), Organic Wheat Bran, Cream of Tartar, Organic Acacia Gum, Sea Salt, Vitamin Mix (Niacinamide, Cyanocobalamin, Pyridoxine Hydrochloride, Riboflavin, Thiamine Hydrochloride, Folic Acid), Zinc Oxide, Reduced Iron","Earth's Best Organic Organic Strawberry Sunny Days Snack Bar, 5.3 oz",0.9,45,0,7,19,60,0,organic
"Best Ingredients: Organic Wheat Flour, Organic Powdered Sugar, Organic Palm Oil, Organic Cane Sugar, Organic Cocoa Processed With Alkali, Organic Invert Cane Syrup, Organic Tapioca Starch, Leavening (Baking Soda, Ammonium Bicarbonate), Sea Salt, Organic Soy Lecithin, Organic Chocolate, Natural Flavor","Organic Chocolate Grabbits Sandwhich Cookies, 8.06 oz",2,125,1,13,34,160,3.5,organic
"Best Ingredients: Organic Wheat Flour, Organic Cane Sugar, Organic Expeller-pressed Sunflower Oil, Organic While Wheat Flour (Graham Flour), Organic Invert Cane Syrup, Organic Corn Flour, Organic Chocolate Cookie Bits (Organic Wheat Flour, Organic Sugar, Organic Expeller-pressed Sunflower Oil, Organic Malted Black Barley Flour, Organic Cocoa, Baking Soda), Calcium Carbonate, Organic Honey, Organic Cocoa Powder, Organic Semi-sweet Chocolate Chips (Organic Cane Sugar, Organic Unsweetened Chocolate, Organic Cocoa Butter, Organic Vanilla Extract), Baking Soda, Sea Salt, Natural Flavor, Mixed Tocopherols (Vitamin E) To Protect Flavor",Organic Friends Cookie 12 Pack,2,85,1,7,28,130,0.5,organic
"Ingredients: Almond Flour*, Chocolate Chip* (Coconut Sugar*, Chocolate Liquor*, Cocoa Butter*), Coconut Sugar*, Coconut Oil*, Sunflower Seed*, Coconut*, Pumpkin Seed*, Filtered Water, Flax Seed*, Vanilla Extract*, Himalayan Pink Salt, Cinnamon Powder* *=Organic","Superfood Chocolate Chip Cookie, 5.3 oz",6,60,4,8,38,230,6,organic
"Ingredients: Organic Coconut, Organic Coconut Syrup, Organic Dark Chocolate (Organic Chocolate Liquor, Organic Coconut Sugar, Organic Cocoa Butter, Organic Vanilla), Organic Almond Flour, Water, Organic Spirulina, Organic Peppermint Oil, Salt","Organic Chocolate Covered Coconut Cookie, 3.5 oz",2,35,2,6,25,140,8,organic
"Ingredients: Organic Whole Wheat Flour, Organic Wheat Flour, Organic Cane Sugar, Water, Organic Sunflower Oil and/or Organic Safflower Oil, Organic Honey, Organic Invert Cane Syrup, Leavening (Ammonium Bicarbonate, Sodium Bicarbonate, Monocalcium Phosphate), Sea Salt, Natural Flavor, Vitamin Mineral Blend (Ferric Orthophosphate, Niacinamide, Zinc Oxide, Cyanocobalamin, Maltodextrin, Folic Acid, Thiamine Mononitrate, Pyridoxine Hydrochloride, Riboflavin)","Organic Crunchin' Grahams Honey Sticks, 5.3 oz",1,70,1,5,20,70,0,organic
"Ingredients: Brownie Brittle Organic Mix (Organic Cane Sugar, Organic Wheat Flour, Organic Palm Oil, Organic Cocoa [Processed With Alkali], Organic Dried Malt Syrup, Organic Soybean Oil, Organic Cornstarch, Sea Salt, Leavening [Baking Soda], Natural Flavor), Organic Semi-sweet Chip (Organic Cane Sugar, Organic Vegetable Fat [Palm], Organic Cocoa Powder, Organic Dextrose, Organic Cocoa Powder [Processed With Alkali], Organic Soy Lecithin [An Emulsifier], Organic Egg Whites","Organic Chocolate Chip Brownie Brittle, 5 oz",2,85,1,14,28,120,2,organic
"Ingredients: Whole Grain Rolled Oats*, Fairtrade Cane Sugar*, Sunflower Oil*, White Chocolate Chunks* (Cane Sugar*, Cocoa Butter*, Whole Milk Powder*, Soy Lecithin*, Vanilla Extract*), Fairtrade Black Cocoa Powder* (Processed With Alkali), Sea Salt, Fairtrade Dried Coconut*, Fairtrade Coffee*, Flavors* [Vanilla, Coffee (Cream Type)], Rice Starch*, Tocopherols (Vitamin E)., *Organic","Love Crunch Espresso Vanilla Cream Granola, 11.5 oz",3,105,3,7,30,130,1,organic
"Organic Buckwheat Flour, Milled Organic Flaxseed, Organic Palm Oil, Organic Brown Sugar, Organic Oat Flour, Organic Tapioca Starch, Organic Brown Rice Flour, Organic Cane Sugar, Organic Honey, Organic Vanilla Extract, Sodium Bicarbonate, Organic Rosemary Extract, Sea Salt","Abc Multi-grain Cookies, 4.4 oz",0.9,25,1,2,8,40,0.5,organic
"Ingredients: Organic Whole Spelt Flour, Organic Cane Sugar, Organic Malt Syrup, Organic Sunflower Oil, Organic Palm Fruit Oil, Filtered Water, Organic Sprouted Spelt Flour, Organic Honey, Organic Spices, Organic Ground Ginger, Chicory Root Inulin, Sodium Bicarbonate, Sea Salt",Shasha Bread Co. Organic Spelt Ginger Snaps,3,30,2,8,30,130,1,organic
"Ingredients: Organic Einkorn Flour, Organic Cane Sugar*, Organic Palm Fruit Oil, Organic Rice Syrup, Organic Cocoa*, Leavening (Monocalcium Phosphate, Baking Soda), Salt, Organic Cocoa Extract., *Fair Trade Certified Tm by Fair Trade USA","Organic Crispy Cocoa Einkorn Cookie, 8.8 oz",3,80,1,6,28,130,2,organic
"Organic Rice Flour, Organic Corn Flour, Organic Strawberry Puree (Organic Invert Sugar Syrup, Organic Glucose Syrup, Organic Cane Sugar, Organic Strawberry Puree, Citric Acid, Organic Elderberry Juice Concentrate, Natural Flavor), Organic Cane Sugar, Organic Oat Flour, Salt, Vegetable Concentrate (Carrot Puree Concentrate, Blueberry Puree), Natural Flavors, Organic Blueberry Powder (Organic Blueberry Powder, Organic Corn Maltodextrin), Organic Yogurt Powder, Citric Acid, Organic Rosemary Extract","Organic Very Berry Pillows, 10.6 oz",2,50,1,9,32,120,0,organic
"Organic Coconut, Organic Agave Syrup, Organic White Baking Chips (Org. Cocoa Butter, Org. Cane Sugar, Org. Tapioca Starch, Org. Rice Syrup Powder, Org. Rice Maltodextrin, Org. Vanilla, Salt), Organic Springkles (Org. Sugar, Org. Tapioca Starch, Colors (from Vegan Sources), Org. Tapioca Maltodextrin, Baking Soda, Citric Acid), Organic Almond Flour, Organic Coconut Oil, Organic Vanilla Extract, Himalayan Salt","Organic Birthday Cake Coconut Cookies, 6 oz",1,15,2,6,19,110,6,organic
"Ingredients Organic Wheat Flour, Organic Light Brown Sugar, Organic Palm Shortening*, Organic Whole Wheat Flour, Organic Molasses, Organic Oats, Organic Dehydrated Sweet Potato, Organic Raisins, Organic Pea Protein, Vitamin Premix, Organic Vanilla Flavor, Organic Cinnamon, Organic Milled Flaxseed, Sodium Bicarbonate, Sea Salt., Vitamins + Minerals Calcium (Calcium Carbonate), Iron (Ferric Orthophosphate), Vitamin A (Palmitate), Vitamin B6 (Pyridoxine Hydrochloride), Folic Acid, Vitamin D2 (Ergocalciferol), Vitamin B12 (Cyanocobalamin)., *Palm Fruit Oil Is Sustainably Sourced","Organic Sweet Potato Oatmeal Raisin Smart Cookies Multipack, 4 oz",2,55,1,6,23,90,1.5,organic
"Organic Wheat Flour, Organic Cane Sugar, Organic Butter, Organic Whole Wheat Flour, Organic Expeller-pressed Sunflower Oil, Sea Salt, Lemon Oil, Baking Soda, Mixed Tocopherols (Vitamin E) To Protect Flavor, Natural Flavor","Organic Lemon Drop Cookie Bites, 6.5 oz",2,60,1,7,30,140,3,organic
"Ingredients: Oat Blend* (Rolled Oats*, Oat Flour*, Oat Fiber*), Tapioca Syrup*, Fig Paste*, High Oleic Sunflower Oil*, Cane Sugar*, Cane Syrup*, Cocoa Butter*, Natural Flavors, Soy Flour*, Baking Soda, Sea Salt, Cinnamon*, Soy Lecithin*, Vanilla Extract*","Organic Iced Oatmeal Cookie Z Bar, 1.27 oz",2,105,2,10,36,150,1,organic
"Ingredients Organic Wheat Flour, Organic Light Brown Sugar, Organic Palm Shortening*, Organic Whole Wheat Flour, Organic Semi Sweet Chocolate Chips (Organic Sugar, Organic Unsweetened Chocolate, Organic Cocoa Butter, Organic Soy Lecithin [An Emulsifier], Organic Natural Vanilla Extract), Organic Dehydrated Beet, Organic Orange Extract, Organic Molasses, Vitamin Premix, Organic Pea Protein, Organic Vanilla Flavor, Organic Milled Flaxseed, Sea Salt, Sodium Bicarbonate., Vitamins + Minerals Calcium (Calcium Carbonate), Iron (Ferric Orthophosphate), Vitamin A (Palmitate), Vitamin B6 (Pyridoxine Hydrochloride), Folic Acid, Vitamin D2 (Ergocalciferol), Vitamin B12 (Cyanocobalamin)","Organic Chocolate Orange Beet Smart Cookies Multipack, 4 oz",2,70,1,7,23,100,1.5,organic
"Ingredients: Organic Coconut, Organic Agave Syrup, Organic Almond Flour, Organic Coconut Oil, Organic Pumpkin Pie Spice (Organic Cinnamon, Organic Ginger, Organic Nutmeg, Organic Cloves), Organic Vanilla Extract, Himalayan Salt","Organic Coconut Cookies Pumpkin Spice, 6 oz",1,15,2,5,19,100,7,organic
"Gluten Free Flour Blend* (Oat Flour*, Tapioca Starch*, Ground Chia Seeds*), Invert Cane Syrup*, Vegetable Oils* (Palm Fruit Oil*†, Sunflower Oil*), Vegetable Glycerin*, Baking Powder, Cinnamon*, Vegetable Extracts (Spinach, Broccoli, Carrots, Tomatoes, Beets, Shiitake Mushrooms), Sea Salt, Natural Flavor*., *Organic., †sustainable","Organic Soft Baked Mini Snickerdoodle Cookies, 4.25 oz",1,70,1,7,24,110,2,organic
"Ingredients: Organic Coconut, Organic Agave Syrup, Organic Cocoa Powder, Organic Chocolate Chips (Organic Cocoa Mass, Organic Cane Sugar, Organic Cocoa Butter, Organic Vanilla), Organic Almond Flour, Organic Peppermint Oil, Organic Coconut Oil, Organic Vanilla Extract, Himalayan Salt","Double Chocolate Mint Coconut Cookies, 6 oz",1,15,2,5,19,100,7,organic
"Invert Cane Syrup*, Gluten Free Flour Blend* (Oat Flour*, Tapioca Starch*, Ground Chia Seeds*), Palm Fruit Oil*†, Sunflower Seed Butter*, Chocolate Chips* (Cane Sugar*, Unsweetened Chocolate*, Cocoa Butter*), Vegetable Glycerin*, Sea Salt, Baking Powder, Natural Flavor*, Vegetable Extracts (Spinach, Broccoli, Carrots, Tomatoes, Beets, Shiitake Mushrooms)., *Organic., †sustainable","Organic Soft Baked Mini Cookies, 4.25 oz",1,160,1,7,24,110,2.5,organic
"Dried Unsweetened Coconut*, Coconut Nectar*, Cacao Powder*, Extra Virgin Coconut Oil*, Cacao Bean Nibs*, Goji Berries*, Vanilla Extract*, Maca Powder*, Spirulina*, Sea Salt (*Organic)","Chocolate Superfood Macaroon, 2 oz",2,20,3,2,28,160,10,organic
"Dried Unsweetened Coconut Flakes*, Coconut Nectar*, Almonds*, Extra Virgin Coconut Oil*, Cacao Bean Nibs*, Goji Berries*, Vanilla Extract*, Maca Powder*, Mesquite Pod Powder*, Sea Salt (*Organic)","Organic Blonde Superfood Macaroon, 2 oz",2,20,2,2,28,150,9,organic
"Ingredients Organic Coconut Flakes, Organic Cacao Powder, Organic Maple Syrup, Organic Coconut Oil, Himalayan Pink Salt, Organic Pure Vanilla Powder","Organic Coconut Brownie Bites, 2.7 oz",0,5,0,3,13,50,3,organic
"Ingredients Organic Coconut Flakes, Organic Almond Flour, Organic Maple Syrup, Organic Coconut Oil, Himalayan Pink Salt, Organic Pure Vanilla Powder","Organic Blonde Macaroons, 2.7 oz",0,0,0,3,13,50,2,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Invert Cane Sugar, Organic Expeller Pressed Canola Oil, Organic Natural Flavors, Sea Salt, Leavening (Sodium Bicarbonate)","Organic Vanilla Animal Cookie, 11 oz",2,120,1,7,30,140,2,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Chocolate Chips (Organic Cane Sugar, Organic Chocolate Liquor, Organic Cocoa Butter, Organic Soy Lecithin [Emulsifier]), Organic Invert Cane Sugar, Organic Expeller Pressed Canola Oil, Organic Natural Flavors, Sea Salt, Leavening (Sodium Bicarbonate)","Organic Chocolate Chip Animal Cookie, 11 oz",2,110,1,8,30,140,2.5,organic
"Ingredients: Organic Whole Wheat Flour, Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Invert Cane Sugar, Organic Honey, Sea Salt, Leavening (Sodium Bicarbonate), Organic Cinnamon, Organic Soy Lecithin (Emulsifier)","Organic Whole Grain Honey Cinnamon Animal Cookie, 11 oz",2,120,1,7,30,140,2,organic
"Ingredients: Organic Enriched Wheat Flour (Organic Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Organic Cane Sugar, Organic Expeller Pressed Palm Oil, Organic Invert Cane Sugar, Organic Expeller Pressed Canola Oil, Organic Natural Flavors, Sea Salt, Leavening (Sodium Bicarbonate)","Organic Multi Pack Vanilla Animal Cookie, 6.3 oz",2,120,1,7,30,140,2,organic
"Ingredients: Organic Whole Ground Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Sea Salt","Organic Sea Salt Thin & Crispy Tortilla Chips, 11 oz",2,65,2,0,28,130,0.5,organic
"Ingredients: Organic Whole Ground Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Sea Salt, Organic Lime Oil","Organic Sea Salt & Lime Tortilla Chips, 11 oz",2,70,1,0,28,130,0.5,organic
"Organic Stone Ground Blue Corn, Organic Expeller Pressed Oil (Organic Sunflower Seed, Organic Safflower Seed, and/or Organic Canola Oil), Sea Salt.","Organic Blue Corn Tortilla Chips, 12 oz",2,50,1,0,28,140,0.5,organic
"Organic Stone Ground White Corn, Organic Expeller Pressed Oil (Organic Sunflower Seed, Organic Safflower Seed, and/or Organic (Canola Oil), Sea Salt.","Organic Salted White Corn Tortilla Chips, 12 oz",2,65,2,0,28,150,0.5,organic
"Organic Stone Ground Yellow Corn, Organic Expeller Pressed Oil (Organic Sunflower Seed, Organic Safflower Seed, and/or Organic Canola Oil), Sea Salt.","Organic Yellow Corn Tortilla Rounds Salted, 12 oz",2,50,2,0,28,150,0.5,organic
"Ingredients: Organic Whole Ground Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Organic Chia Seeds, Organic Quinoa, Sea Salt","Chia & Quinoa Tortilla Chips, 11 oz",2,65,2,0,28,140,0.5,organic
"Organic Corn Flour, Organic Potato Flour, Organic Potato Starch, Organic Corn Starch, Organic Rice Flour, Salt, Organic Cane Sugar, Organic Spinach Powder, Organic Tomato Powder, Organic Beetroot Powder (Color), Organic Turmeric (Color), Organic Sunflower and/or Organic Safflower Oil, Sea Salt","Organic Sea Salt Veggie Straws, 5 oz",1,280,1,1,28,130,0.5,organic
"Organic Stone Ground White Corn, Organic Expeller Pressed Oil (Organic Sunflower Seed, Organic Safflower Seed, and/or Organic Canola Oil), Sea Salt.","Organic Thin & Crispy White Corn Tortilla Chips, 12 oz",2,50,2,0,28,150,0.5,organic
"Ingredients: Organic Whole Ground Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Organic Brown Rice, Organic Chia Seeds, Organic Grain & Seed Blend (Organic Flax, Organic Millet, Organic Brown Rice, Organic Quinoa, Organic Amaranth), Organic Evaporated Cane Sugar, Sea Salt","Sea Salt Multigrain Tortilla Chips, 6 oz",2,65,2,0,28,130,0.5,organic
"Ingredients: Organic Whole Ground Blue Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Sea Salt","Restaurant Style Blue Corn Chips, 11 oz",2,70,1,0,28,130,0.5,organic
"Organic Whole Ground White Corn, Organic Sunflower Oil and/or Organic Safflower Oil, Sea Salt","White Corn Cantina Dippers, 8 oz",2,100,1,0,28,150,1,organic
"Ingredients: Organic Potatoes, Organic Safflower and/or Sunflower Oil, Sea Salt","Kettle Brand Organic Sea Salt Potato Chips, 5 oz",2,115,1,0,28,150,1,organic
"Ingredients: Organic Potatoes, Organic Sunflower and/or Organic Safflower Oil, Sea Salt","Thin & Crispy Sea Salt Potato Chips, 5 oz",2,150,1,0,28,150,1,organic
"Ingredients: Plantains*, Coconut Oil*, Himalayan Pink Sea Salt *Indicates USDA Certified Organic","Organic Pink Sea Salt Plantain Chips, 5 oz",1,75,1,0,28,150,8,organic
